Task,Difficulty,Region,Type,Points,ready-to-use,auto-completed
[8] Fill 25 Elite Clue Collection Log Slots,Hard,General,Other,80,no,
[9] Fill 5 Master Clue Collection Log Slots,Hard,General,Other,80,no,
[10] Fill 25 Master Clue Collection Log Slots,Elite,General,Other,200,no,
[11] Burn Some Coloured Logs,Medium,General,Other,30,no,
[12] Equip a Gilded or Trimmed Wizard Item,Hard,General,Other,80,no,
[13] Equip a Full Vestment Set,Hard,General,Other,80,no,
[15] Eat some Purple Sweets,Medium,General,Other,30,no,
[17] Equip a Full God Rune Set,Hard,General,Other,80,no,
[19] Equip a Trimmed Amulet,Medium,General,Other,30,no,
[20] Equip a Full God Dragonhide Set,Hard,General,Other,80,no,
[23] Equip an Ornament Kit Item,Hard,General,Other,80,no,
[25] Equip Some Ranger Boots,Hard,General,Other,80,no,
[27] Fill 3 Elite Clue Collection Log Slots,Medium,General,Other,30,no,
[28] Fill 10 Elite Clue Collection Log Slots,Hard,General,Other,80,no,
[29] Fill 15 Hard Clue Collection Log Slots,Medium,General,Other,30,no,
[30] Fill 30 Hard Clue Collection Log Slots,Hard,General,Other,80,no,
[31] Fill 40 Medium Clue Collection Log Slots,Hard,General,Other,80,no,
[32] Fill 3 Hard Clue Collection Log Slots,Medium,General,Other,30,no,
[33] Fill 5 Medium Clue Collection Log Slots,Medium,General,Other,30,no,
[34] Fill 20 Medium Clue Collection Log Slots,Medium,General,Other,30,no,
[35] Fill 20 Easy Clue Collection Log Slots,Medium,General,Other,30,no,
[36] Fill 50 Easy Clue Collection Log Slots,Hard,General,Other,80,no,
[37] Fill Every Beginner Clue Collection Log Slot,Elite,General,Other,200,no,
[38] Fill 5 Easy Clue Collection Log Slots,Medium,General,Other,30,no,
[39] Fill 5 Beginner Clue Collection Log Slots,Medium,General,Other,30,no,
[40] Fill 10 Beginner Clue Collection Log Slots,Hard,General,Other,80,no,
[41] Gain 10 Unique Items From Master Clues,Hard,General,Other,80,no,
[42] Gain 25 Unique Items From Master Clues,Elite,General,Other,200,no,
[43] Gain 10 Unique Items From Elite Clues,Hard,General,Other,80,no,
[44] Gain 25 Unique Items From Elite Clues,Elite,General,Other,200,no,
[45] Gain 20 Unique Items From Hard Clues,Medium,General,Other,30,no,
[46] Gain 50 Unique Items From Hard Clues,Hard,General,Other,80,no,
[47] Gain 25 Unique Items From Medium Clues,Hard,General,Other,80,no,
[48] Gain 5 Unique Items From Hard Clues,Medium,General,Other,30,no,
[49] Gain 35 Unique Items From Easy Clues,Medium,General,Other,30,no,
[50] Gain 10 Unique Items From Medium Clues,Medium,General,Other,30,no,
[51] Gain 35 Unique Items From Beginner Clues,Hard,General,Other,80,no,
[52] Gain 10 Unique Items From Easy Clues,Medium,General,Other,30,no,
[53] Gain a Unique Item From a Master Clue,Medium,General,Other,30,no,
[54] Gain 10 Unique Items From Beginner Clues,Medium,General,Other,30,no,
[55] Gain a Unique Item From a Hard Clue,Medium,General,Other,30,no,
[56] Gain a Unique Item From an Elite Clue,Hard,General,Other,80,no,
[57] Gain a Unique Item From an Easy Clue,Medium,General,Other,30,no,
[58] Gain a Unique Item From a Medium Clue,Medium,General,Other,30,no,
[59] Gain a Unique Item From a Beginner Clue,Medium,General,Other,30,no,
[61] Defeat a Moss Giant,Easy,General,Combat,10,yes,
[62] Defeat a Lesser Demon,Medium,General,Combat,30,yes,
[63] Defeat a Goblin,Easy,General,Combat,10,yes,
[64] Defeat a Guard,Easy,General,Combat,10,yes,
[65] Restore 75 Prayer Points at an Altar,Hard,General,Combat,80,no,
[66] Reach a Prayer Bonus of 30,Hard,General,Combat,80,no,
[67] 1 Wintertodt Kill,Easy,Kourend,Skilling,10,no,
[68] 10 Wintertodt Kills,Medium,Kourend,Skilling,30,no,
[69] 25 Wintertodt Kills,Medium,Kourend,Skilling,30,no,
[70] 50 Wintertodt Kills,Hard,Kourend,Skilling,80,no,
[71] Complete 1 Farming Contract,Easy,Kourend,Skilling,10,no,
[72] Complete 10 Farming Contracts,Medium,Kourend,Skilling,30,no,
[73] Complete 50 Farming Contracts,Hard,Kourend,Skilling,80,no,
[74] Equip a Wizard Robe and Hat,Medium,General,Combat,30,no,
[75] Equip a Piece of a Mystic Set,Medium,General,Combat,30,no,
[76] Steal a Golovanova Fruit Top,Medium,Kourend,Skilling,30,no,
[77] Plant 100 Golovanova Seeds,Medium,Kourend,Skilling,30,no,
[78] Plant 100 Bologano Seeds,Hard,Kourend,Skilling,80,no,
[79] Plant 100 Logavano Seeds,Hard,Kourend,Skilling,80,no,
[81] Enter the Farming Guild's Mid Tier,Medium,Kourend,Skilling,30,no,
[82] Enter the Farming Guild's High Tier,Hard,Kourend,Skilling,80,no,
[86] Pickpocket a Master Farmer,Medium,General,Skilling,30,no,
[87] Enter the Woodcutting Guild,Medium,Kourend,Skilling,30,no,
[89] Obtain Runite Ore at the Blast Mine,Hard,Kourend,Skilling,80,no,
[93] Check a grown Redwood Tree,Elite,Kourend,Skilling,200,no,
[94] Restore 5 Prayer Points at an Altar,Easy,General,Combat,10,no,
[95] Superhuman Strength and Improved Reflexes,Easy,General,Combat,10,no,
[96] 25 Superior Slayer Encounters,Medium,General,Combat,30,no,
[97] Bury Some Bones,Easy,General,Combat,10,no,
[98] 75 Superior Slayer Encounters,Medium,General,Combat,30,no,
[99] 100 Superior Slayer Encounters,Hard,General,Combat,80,no,
[100] 50 Lizardmen Shaman Kills,Medium,Kourend,Combat,30,no,
[101] 150 Lizardmen Shaman Kills,Medium,Kourend,Combat,30,no,
[102] 300 Lizardmen Shaman Kills,Hard,Kourend,Combat,80,no,
[103] 1 Sarachnis Kill,Easy,Kourend,Combat,10,yes,
[104] 50 Sarachnis Kills,Medium,Kourend,Combat,30,yes,
[105] 150 Sarachnis Kills,Hard,Kourend,Combat,80,yes,
[106] 300 Sarachnis Kills,Hard,Kourend,Combat,80,yes,
[107] 1 Skotizo Kill,Hard,Kourend,Combat,80,yes,
[108] 10 Skotizo Kills,Hard,Kourend,Combat,80,yes,
[110] 1 Alchemical Hydra Kill,Hard,Kourend,Combat,80,yes,
[111] 50 Alchemical Hydra Kills,Hard,Kourend,Combat,80,yes,
[112] 150 Alchemical Hydra Kills,Hard,Kourend,Combat,80,yes,
[113] 300 Alchemical Hydra Kills,Elite,Kourend,Combat,200,yes,
[114] 1 Chambers of Xeric,Hard,Kourend,Other,80,no,
[115] 25 Chambers of Xeric,Hard,Kourend,Other,80,no,
[116] 50 Chambers of Xeric,Hard,Kourend,Other,80,no,
[117] 100 Chambers of Xeric,Elite,Kourend,Other,200,no,
[120] Teleport to Xeric's Honour,Medium,Kourend,Misc,30,no,
[121] Equip a Dragon Warhammer,Elite,Kourend,Combat,200,yes,
[122] Visit Ferox Enclave,Easy,Wilderness,Misc,10,no,
[123] Equip Boots of Brimstone,Hard,Kourend,Combat,80,yes,
[124] Equip a Dust Battlestaff,Hard,Kourend,Combat,80,yes,
[125] Equip a Mist Battlestaff,Hard,General,Combat,80,yes,
[126] Equip an Eternal Slayer Ring,Elite,General,Combat,200,no,
[127] Activate an Imbued Heart,Elite,General,Combat,200,no,
[128] Equip Ferocious Gloves,Hard,Kourend,Combat,80,yes,
[129] Equip a Dragon Hunter Lance,Elite,Kourend,Combat,200,yes,
[130] Equip a Brimstone Ring,Hard,Kourend,Combat,80,yes,
[131] Equip a Twisted Bow,Master,Kourend,Combat,400,yes,
[132] Equip an Elder Maul,Elite,Kourend,Combat,200,yes,
[133] Equip a Kodai Wand,Elite,Kourend,Combat,200,yes,
[134] Reach a Prayer Bonus of 15,Medium,General,Combat,30,no,
[135] Kourend and Kebos Easy Diary Tasks,Medium,Kourend,Diary,30,no,
[136] Kourend and Kebos Medium Diary Tasks,Medium,Kourend,Diary,30,no,
[137] Kourend and Kebos Hard Diary Tasks,Hard,Kourend,Diary,80,no,
[138] Kourend and Kebos Elite Diary Tasks,Elite,Kourend,Diary,200,no,
[139] Open 1 Grubby Chest,Easy,Kourend,Combat,10,no,
[142] Steal 1 Artefact,Medium,Kourend,Skilling,30,no,
[143] Steal 15 Artefacts,Medium,Kourend,Skilling,30,no,
[145] Turn in 1 Library Book,Easy,Kourend,Skilling,10,no,
[146] Turn in 10 Library Books,Medium,Kourend,Skilling,30,no,
[148] 1 Easy Clue Scroll,Medium,General,Other,30,no,
[149] 25 Easy Clue Scrolls,Medium,General,Other,30,no,
[150] 75 Easy Clue Scrolls,Medium,General,Other,30,no,
[152] 1 Medium Clue Scroll,Medium,General,Other,30,no,
[153] 25 Medium Clue Scrolls,Medium,General,Other,30,no,
[154] 75 Medium Clue Scrolls,Medium,General,Other,30,no,
[156] 1 Hard Clue Scroll,Medium,General,Other,30,no,
[157] 25 Hard Clue Scrolls,Medium,General,Other,30,no,
[158] 75 Hard Clue Scrolls,Hard,General,Other,80,no,
[160] 1 Elite Clue Scroll,Medium,General,Other,30,no,
[161] 25 Elite Clue Scrolls,Medium,General,Other,30,no,
[162] 75 Elite Clue Scrolls,Hard,General,Other,80,no,
[164] 1 Master Clue Scroll,Hard,General,Other,80,no,
[165] 25 Master Clue Scrolls,Hard,General,Other,80,no,
[166] 75 Master Clue Scrolls,Elite,General,Other,200,no,
[168] 1 Mimic Kill,Hard,Kourend,Combat,80,no,
[169] 5 Mimic Kills,Hard,Kourend,Combat,80,no,
[172] Bank at Land's End,Easy,Kourend,Misc,10,no,
